71208,85,208742,101,2,0,155,7710,222.5,37,1
103495,22,7365,26,1,0,-25,14693,201.0,3,1
90112,11,3880,8,1,0,214,5855,0,3,1
72131,19,15516,147,2,0,245,5109,183.0,25,1
133892,2,325,0,0,0,0,0,0,0,1
6877,106,148588,478,12,0,1133,1227,207.08333333333334,90,1
133885,2,155,0,0,0,0,0,0,0,1
92681,1454,243977,12,0,1,0,4613,167.0,0,1
117923,13,2610,3,1,0,88,10720,212.0,2,1
30360,5,3968,29,1,0,244,5130,56.0,5,1
106607,10,4220,47,1,0,38,13289,262.0,3,1
111580,5,1116,5,0,0,0,0,0,2,1
22735,30,39919,84,1,0,186,6595,111.5,5,1
69842,9,5034,28,1,0,243,5156,57.0,8,1
133781,8,19280,91,5,0,439,2925,212.2,25,1
133903,2,1010,3,1,0,16,14493,284.0,1,1
133960,2,6580,33,2,0,102,9996,249.0,8,1
119092,24,25020,52,1,0,44,12973,0,18,1
22584,6,3606,51,1,0,149,7938,151.0,5,1
79110,8,4938,14,0,0,0,7398,0,4,1
133399,3,1185,0,0,0,0,0,0,0,1
132529,3,510,0,0,0,0,0,0,0,1
1145,32,20122,188,3,0,169,7160,243.66666666666666,32,1
132995,5,16120,56,5,0,171,7085,269.0,19,1
114115,3,3755,23,0,0,0,0,0,1,1
133886,2,335,1,0,0,0,0,0,1,1
1824,15,3822,41,1,0,75,11357,225.0,9,1
125531,10,8665,32,0,0,0,0,0,13,1
133870,3,3920,9,1,0,30,13731,281.0,6,1
133895,2,780,0,0,0,0,0,0,0,1
132873,5,1100,0,0,0,0,0,0,0,1
133881,2,360,0,0,0,0,0,0,0,1
133967,4,6640,17,3,0,16,14510,294.6666666666667,10,1
1156,29,5753,96,1,0,5,15240,306.0,14,1
133867,3,505,4,0,0,0,0,0,1,1
133112,9,6160,37,4,0,226,5580,268.6666666666667,11,1
133823,3,2385,2,0,0,0,0,0,2,1
58261,133,57658,639,0,0,0,9336,0,10,1
112137,23,5890,23,0,0,0,0,0,0,1
131592,3,7350,24,2,0,265,4645,167.5,8,1
127011,2,5765,6,0,0,0,0,0,3,1
130409,5,2185,2,1,0,90,10615,218.0,2,1
91263,13,4308,33,2,0,342,3617,138.0,5,1
78363,10,2904,40,1,0,129,8727,176.0,3,1
126884,61,82610,104,3,0,455,2835,148.33333333333334,41,1
131697,3,2885,6,0,0,0,0,0,3,1
130170,7,3515,0,0,0,0,0,0,0,1
130940,7,3055,5,1,0,168,7208,159.0,2,1
2960,9,558,0,0,0,0,56631,0,0,1
133369,3,8250,49,1,0,94,10428,249.0,10,1
132133,6,13195,11,1,0,24,14035,164.0,8,1
111409,4,158,0,0,0,0,0,0,0,1
117822,6,4280,5,0,0,0,0,0,2,1
114929,32,16230,41,2,0,95,10380,257.5,17,1
55294,15,1109,50,2,0,0,7020,0,1,1
61522,96,33042,673,1,0,2,15432,0,34,1
74501,2,1497,6,2,0,61,12016,258.0,3,1
133964,5,13280,73,5,0,350,3546,230.0,17,1
131625,4,2890,6,0,0,0,0,0,2,1
109719,12,3395,2,1,0,31,13670,0,2,1
16062,38,5917,112,0,0,0,73216,0,8,1
110912,93,61785,227,1,0,-1,14827,301.0,55,1
128724,16,22900,121,5,0,598,2136,132.57142857142858,34,0
130114,42,62860,141,7,0,957,1428,146.88888888888889,53,0
3192,355,312126,4110,182,580,47012,5,44.96686746987952,165,0
72069,376,1760260,9735,152,389,32018,52,98.23316062176166,175,0
47540,49,78752,1441,25,1,4768,422,144.275,88,0
61272,712,729034,4048,47,17,7984,314,135.45977011494253,189,0
113386,445,838470,7594,127,126,15987,172,161.88095238095238,190,0
6151,314,916305,3830,74,31,12566,225,128.64893617021278,209,0
128141,103,1065185,4393,81,51,13494,207,128.79775280898878,205,0
4406,1231,4363263,26061,62,46,8719,294,165.77777777777777,209,0
122665,99,204205,1203,37,0,6333,361,114.54347826086956,161,0
95954,550,367995,2475,32,4,4718,426,135.45652173913044,172,0
78129,31,11806,105,5,0,775,1705,114.22222222222223,25,0
458,777,799919,17415,93,192,8947,288,158.24505928853756,161,0
16287,135,513922,3404,147,616,40797,16,27.968627450980392,112,0
87169,168,197021,2306,35,0,4002,476,164.54761904761904,147,0
399,1083,875543,25370,114,83,14952,183,153.27554179566565,196,0
1171,559,734958,9143,113,72,11219,241,171.06859205776172,165,0
17,1618,982967,22412,168,653,29716,60,101.00959232613909,187,0
115644,109,141425,1075,18,0,2927,592,115.43478260869566,143,0
73205,240,94120,861,21,2,2488,654,164.71052631578948,62,0
132340,24,35935,257,18,1,3833,497,86.78947368421052,50,0
1103,1016,1695607,13969,80,66,8303,306,155.07003891050584,169,0
1575,1020,837235,16966,45,15,4243,460,175.42937853107344,158,0
30814,304,176317,1680,15,1,2446,666,142.53571428571428,130,0
969,139,173338,1415,16,6,1536,935,175.31034482758622,78,0
15893,186,104133,1512,68,28,7444,331,156.53125,10,0
1330,1779,1028155,10323,178,1029,41361,14,67.47941888619854,194,0
